xrsb_flux,status,time,background_flux,flare_class,integrated_flux,flare_id
4.73338e-08,EVENT_START,539872860.0,4.7575107e-08,,3.3819822e-05,201702090041
1.9309573e-07,EVENT_PEAK,539873340.0,4.7575107e-08,B1.9,8.711755e-05,201702090041
1.13640155e-07,EVENT_END,539873820.0,4.7575107e-08,,0.00012447171,201702090041
4.6692353e-08,POST_EVENT,539874900.0,,,,201702090041
4.287903e-08,EVENT_START,539875860.0,4.8130094e-08,,3.7598642e-05,201702090131
2.2459952e-07,EVENT_PEAK,539876400.0,4.8130094e-08,B2.2,7.3152485e-05,201702090131
6.6677664e-08,EVENT_END,539876640.0,4.8130094e-08,,7.715315e-05,201702090131
5.774642e-08,EVENT_START,539876700.0,8.2407034e-08,,5.047577e-05,201702090145
9.100281e-07,EVENT_PEAK,539877060.0,8.2407034e-08,B9.1,0.0002884977,201702090145
3.423239e-07,EVENT_END,539877420.0,8.2407034e-08,,0.00036285166,201702090145
1.02227276e-07,EVENT_START,539879460.0,1.0340726e-07,,6.0807077e-05,201702090231
1.7050675e-07,EVENT_PEAK,539880000.0,1.0340726e-07,B1.7,0.000110203735,201702090231
1.2022446e-07,EVENT_END,539880540.0,1.0340726e-07,,0.00015982517,201702090231
1.03771e-07,EVENT_START,539880900.0,9.83742e-08,,6.414141e-05,201702090255
2.0300834e-07,EVENT_PEAK,539881140.0,9.83742e-08,B2.0,7.4737385e-05,201702090255
1.752752e-07,EVENT_START,539881380.0,1.752752e-07,,7.213293e-05,201702090303
4.673703e-07,EVENT_PEAK,539881740.0,1.752752e-07,B4.6,0.00019869898,201702090303
2.6184568e-07,EVENT_END,539882160.0,1.752752e-07,,0.00027686142,201702090303
2.4229885e-07,EVENT_START,539882460.0,2.476385e-07,,9.2939765e-05,201702090321
1.1443364e-06,EVENT_PEAK,539882760.0,2.476385e-07,C1.1,0.00035028203,201702090321
4.3210753e-07,EVENT_END,539883000.0,2.476385e-07,,0.00037620848,201702090321
2.4666255e-07,POST_EVENT,539883660.0,,,,201702090321
4.4309015e-08,EVENT_START,539890080.0,4.6160874e-08,,3.454302e-05,201702090528
4.748921e-07,EVENT_PEAK,539890920.0,4.6160874e-08,B4.7,0.0002886419,201702090528
2.2177115e-07,EVENT_END,539891400.0,4.6160874e-08,,0.00037373925,201702090528
8.4304055e-08,EVENT_START,539892180.0,8.802312e-08,,3.9964503e-05,201702090603
2.7964387e-07,EVENT_PEAK,539892720.0,8.802312e-08,B2.7,0.00014016766,201702090603
1.2854387e-07,EVENT_END,539892960.0,8.802312e-08,,0.00014788029,201702090603
1.0837974e-07,EVENT_START,539893680.0,1.0990194e-07,,5.0524104e-05,201702090628
2.365553e-07,EVENT_PEAK,539894100.0,1.0990194e-07,B2.3,0.00011296103,201702090628
1.5109036e-07,EVENT_END,539894400.0,1.0990194e-07,,0.00013182222,201702090628
1.2185394e-07,EVENT_START,539895060.0,1.2254777e-07,,8.246057e-05,201702090651
9.719957e-07,EVENT_PEAK,539895720.0,1.2254777e-07,B9.7,0.00030412406,201702090651
3.399052e-07,EVENT_END,539895960.0,1.2254777e-07,,0.0003245184,201702090651
1.1829591e-07,POST_EVENT,539897460.0,,,,201702090651
8.889597e-08,EVENT_START,539897940.0,9.2789506e-08,,3.906766e-05,201702090739
1.6938363e-07,EVENT_PEAK,539898180.0,9.2789506e-08,B1.6,6.575355e-05,201702090739
1.0984908e-07,EVENT_END,539898960.0,9.2789506e-08,,0.00015137903,201702090739
9.2394565e-08,POST_EVENT,539899800.0,,,,201702090739
1.998913e-08,EVENT_START,539904540.0,2.3269395e-08,,2.5726851e-05,201702090929
2.1928545e-07,EVENT_PEAK,539905020.0,2.3269395e-08,B2.1,5.538911e-05,201702090929
6.8405974e-08,EVENT_END,539905260.0,2.3269395e-08,,5.9493468e-05,201702090929
2.3098643e-08,POST_EVENT,539906580.0,,,,201702090929
5.3449092e-08,EVENT_START,539913420.0,7.1134906e-08,,4.697865e-05,201702091157
1.0382843e-07,EVENT_PEAK,539913840.0,7.1134906e-08,B1.0,5.8214162e-05,201702091157
8.537278e-08,EVENT_END,539914140.0,7.1134906e-08,,6.856143e-05,201702091157
6.9753604e-08,POST_EVENT,539915160.0,,,,201702091157
1.894701e-08,EVENT_START,540239100.0,1.9266556e-08,,3.375994e-05,201702130625
1.13864296e-07,EVENT_PEAK,540239700.0,1.9266556e-08,B1.1,6.6446475e-05,201702130625
6.116189e-08,EVENT_END,540240660.0,1.9266556e-08,,0.00013633858,201702130625
1.9155504e-08,POST_EVENT,540241980.0,,,,201702130625
3.2890153e-08,EVENT_START,540595500.0,2.976755e-08,,3.6106423e-05,201702170925
1.1050295e-07,EVENT_PEAK,540595920.0,2.976755e-08,B1.1,4.7558435e-05,201702170925
6.368754e-08,EVENT_END,540596400.0,2.976755e-08,,6.929707e-05,201702170925
2.3869012e-08,POST_EVENT,540599400.0,,,,201702170925
1.1468306e-07,EVENT_START,540719280.0,1.1358422e-07,,5.8067242e-05,201702181948
1.5616983e-07,EVENT_PEAK,540719520.0,1.1358422e-07,B1.5,6.627e-05,201702181948
1.2905488e-07,EVENT_END,540719820.0,1.1358422e-07,,8.207536e-05,201702181948
1.1240911e-07,POST_EVENT,540721380.0,,,,201702181948
1.1874334e-07,EVENT_START,540754320.0,1.1848628e-07,,7.845673e-05,201702190532
2.157177e-07,EVENT_PEAK,540754860.0,1.1848628e-07,B2.1,0.00012886453,201702190532
1.5718074e-07,EVENT_END,540755400.0,1.1848628e-07,,0.00019145047,201702190532
1.18450814e-07,POST_EVENT,540758280.0,,,,201702190532
1.6928021e-07,EVENT_START,540766800.0,1.6547335e-07,,7.443632e-05,201702190900
2.3467828e-07,EVENT_PEAK,540767160.0,1.6547335e-07,B2.3,0.00012930692,201702190900
2.211795e-07,EVENT_START,540767400.0,2.211795e-07,,9.531266e-05,201702190910
