xrsb_flux,background_flux,integrated_flux,flare_class_peak
4.73338e-08,4.7575107e-08,3.3819822e-05,B
4.287903e-08,4.8130094e-08,3.7598642e-05,B
5.774642e-08,8.2407034e-08,5.047577e-05,B
1.02227276e-07,1.0340726e-07,6.0807077e-05,B
1.03771e-07,9.83742e-08,6.414141e-05,B
1.752752e-07,1.752752e-07,7.213293e-05,B
2.4229885e-07,2.476385e-07,9.2939765e-05,C
4.4309015e-08,4.6160874e-08,3.454302e-05,B
8.4304055e-08,8.802312e-08,3.9964503e-05,B
1.0837974e-07,1.0990194e-07,5.0524104e-05,B
1.2185394e-07,1.2254777e-07,8.246057e-05,B
8.889597e-08,9.2789506e-08,3.906766e-05,B
1.998913e-08,2.3269395e-08,2.5726851e-05,B
5.3449092e-08,7.1134906e-08,4.697865e-05,B
1.894701e-08,1.9266556e-08,3.375994e-05,B
3.2890153e-08,2.976755e-08,3.6106423e-05,B
1.1468306e-07,1.1358422e-07,5.8067242e-05,B
1.1874334e-07,1.1848628e-07,7.845673e-05,B
1.6928021e-07,1.6547335e-07,7.443632e-05,B
2.211795e-07,2.211795e-07,9.531266e-05,B
1.2949263e-07,1.284643e-07,8.1857936e-05,B
7.395794e-08,7.4093194e-08,4.340448e-05,B
8.1510755e-08,8.160604e-08,4.0763218e-05,B
6.900181e-08,6.7766216e-08,2.980565e-05,B
7.348191e-08,7.642018e-08,4.870461e-05,B
5.8251988e-08,5.624932e-08,3.7268237e-05,B
1.1637705e-07,1.1312753e-07,6.550749e-05,B
8.358557e-08,8.509212e-08,5.401683e-05,B
7.2629035e-08,7.229887e-08,5.311205e-05,B
6.846138e-08,6.9588005e-08,2.689881e-05,B
7.8764195e-08,7.989547e-08,4.50656e-05,B
7.125027e-08,6.8560055e-08,3.491333e-05,B
7.0421464e-08,7.6911945e-08,4.8870443e-05,B
8.298035e-08,8.709885e-08,3.5955072e-05,B
6.935303e-08,6.981542e-08,4.083709e-05,B
6.2565746e-08,6.300442e-08,4.583575e-05,C
6.708889e-08,6.6647644e-08,4.651813e-05,B
6.282802e-08,6.396244e-08,4.386318e-05,B
6.078707e-08,5.8855356e-08,3.6532063e-05,B
2.3771449e-07,2.3771449e-07,0.00011510631,B
1.7173699e-07,1.6803934e-07,7.615307e-05,B
6.860791e-08,6.7154545e-08,3.7029644e-05,B
7.238703e-08,7.413175e-08,4.731865e-05,B
5.3110053e-08,5.0827467e-08,4.7510362e-05,B
8.1530175e-08,7.9518834e-08,4.3731932e-05,B
7.311075e-08,7.440775e-08,3.9842456e-05,C
6.420005e-08,6.279045e-08,3.5704055e-05,B
6.586276e-08,6.633135e-08,3.1618405e-05,B
1.2374175e-08,1.0744065e-08,3.2679305e-05,B
